species,photo,rock#,rock.circumference
rand,33-NST,5,2.5
rand,32-NST,5,3
rand,31-NST,5,3
rand,30-NST,5,4.5
rand,29-NST,5,4
rand,28-NST,5,2.5
rand,27-NST,5,5
rand,26-NST,5,3
rand,20-NST,5,1.5
rand,19-NST,5,NA
rand,18-NST,5,NA
rand,17-NST,5,NA
rand,16-NST,5,2.5
rand,15-NST,5,NA
rand,14-NST,5,3.5
rand,13-NST,5,1
rand,12-NST,5,NA
rand,11-NST,5,4.5
rand,10-NST,5,2.5
rand,9-NST,5,1.5
rand,8-NST,5,NA
rand,7-NST,5,3
rand,6-NST,5,1
rand,5-NST,5,1.5
rand,4-NST,5,4
rand,3-NST,5,3
rand,2-NST,5,1
rand,1-NST,5,5
rand,P1210832,5,NA
rand,P1210827,5,NA
rand,P1210821,5,1.5
rand,P1210816,5,NA
rand,P1210811,5,NA
rand,P1210806,5,NA
rand,P1210801,5,NA
rand,P1210796,5,NA
rand,P1210790,5,6.5
rand,P1210785,5,4
rand,P1210773,5,5
rand,P1210763,5,4
rand,P1210758,5,2.5
rand,P1210753,5,NA
rand,P1210748,5,3.5
rand,P1210743,5,NA
rand,P1210735,5,3.5
rand,P1210729,5,NA
rand,P1210724,5,2
rand,P1210719,5,4.5
rand,P1210714,5,2.5
rand,P1210708,5,1
rand,P1210700,5,3.5
rand,P1210695,5,1
rand,P1210690,5,0.5
rand,P1210685,5,1.5
rand,P1210680,5,2.5
rand,P1210675,5,4
rand,P1210670,5,3.5
rand,P1210665,5,0.5
sagu,0716-NST,5,NA
sagu,0715-NST,5,1
sagu,0714-NST,5,NA
